procode,community_id,in_degree_centrality,weighted_in_degree,betweenness_centrality,kcore,propagation_risk_score,sensitivity_pct,pca_risk_score,cross_community_bridges,provider
R0A,0,0.806452,24530,0.013768,40,0.839629,77.8,0.901257,116,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST
RM3,0,0.314516,375,0.019224,40,0.425582,16.7,0.684163,61,NORTHERN CARE ALLIANCE NHS FOUNDATION TRUST
RBT,0,0.459677,561,0.011225,40,0.338346,0,0.676693,67,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST
RWJ,0,0.290323,2470,0.015288,40,0.313208,0,0.626417,49,STOCKPORT NHS FOUNDATION TRUST
RXN,0,0.185484,1556,0.009714,40,0.252367,0,0.504735,50,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST
RXR,0,0.217742,524,0.008632,37,0.241359,0,0.482718,43,EAST LANCASHIRE HOSPITALS NHS TRUST
REM,0,0.177419,2274,0.007262,40,0.236364,0,0.472728,44,LIVERPOOL UNIVERSITY HOSPITALS NHS FOUNDATION TRUST
RBN,0,0.258065,888,0.003341,37,0.223141,0,0.446282,35,MERSEY AND WEST LANCASHIRE TEACHING HOSPITALS NHS TRUST
RBL,0,0.201613,198,0.00556,35,0.210221,0,0.420442,31,WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST
RXL,0,0.16129,1223,0.004906,38,0.209231,0,0.418461,42,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST
RTX,0,0.153226,354,0.002965,37,0.191395,0,0.38279,36,UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST
RRF,0,0.16129,203,0.001651,35,0.176937,0,0.353874,28,"WRIGHTINGTON, WIGAN AND LEIGH TEACHING HOSPITALS NHS FOUNDATION TRUST"
RMC,0,0.145161,132,0.003267,30,0.157968,0,0.315935,23,BOLTON NHS FOUNDATION TRUST
RVY,0,0.169355,184,0.002818,28,0.152914,0,0.305827,17,SOUTHPORT AND ORMSKIRK HOSPITAL NHS TRUST
RJR,0,0.104839,581,0.004464,29,0.148578,0,0.297156,20,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST
RWW,0,0.120968,46,0.002854,28,0.139434,0,0.278868,19,WARRINGTON AND HALTON TEACHING HOSPITALS NHS FOUNDATION TRUST
RJN,0,0.112903,75,0.00153,23,0.106292,0,0.212583,17,EAST CHESHIRE NHS TRUST
RBS,0,0.129032,726,0.000003,21,0.092917,0,0.185835,7,ALDER HEY CHILDREN'S NHS FOUNDATION TRUST
RMP,0,0.080645,614,0.000809,21,0.083752,0,0.167504,13,TAMESIDE AND GLOSSOP INTEGRATED CARE NHS FOUNDATION TRUST
RW6,0,0.016129,10,0,8,0,0,0,6,PENNINE ACUTE HOSPITALS NHS TRUST
RJZ,1,0.862903,25802,0.013656,40,0.88246,83.3,0.931921,143,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST
RQM,1,0.451613,1849,0.022015,40,0.618466,44.4,0.792933,77,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST
RJ1,1,0.879032,52239,0.003957,40,0.58273,33.3,0.83246,157,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST
RYJ,1,0.467742,2395,0.017651,40,0.446102,13.9,0.753204,97,IMPERIAL COLLEGE HEALTHCARE NHS TRUST
RWH,1,0.629032,16128,0.012363,40,0.392601,0,0.785202,96,EAST AND NORTH HERTFORDSHIRE TEACHING NHS TRUST
RVV,1,0.532258,2719,0.007613,40,0.33865,0,0.677301,84,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST
RWF,1,0.443548,1388,0.011357,40,0.334526,0,0.669052,68,MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST
R1K,1,0.403226,1236,0.012954,40,0.332066,0,0.664133,73,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST
RYR,1,0.33871,1012,0.014478,40,0.322358,0,0.644717,77,UNIVERSITY HOSPITALS SUSSEX NHS FOUNDATION TRUST
RXQ,1,0.330645,449,0.010341,40,0.296921,0,0.593841,62,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST
RC9,1,0.241935,279,0.007962,40,0.25852,0,0.51704,61,BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST
RWG,1,0.25,133,0.006425,40,0.252197,0,0.504393,49,WEST HERTFORDSHIRE TEACHING HOSPITALS NHS TRUST
RJ2,1,0.290323,141,0.004376,40,0.25213,0,0.50426,52,LEWISHAM AND GREENWICH NHS TRUST
RD8,1,0.241935,219,0.005517,40,0.244834,0,0.489667,51,MILTON KEYNES UNIVERSITY HOSPITAL NHS FOUNDATION TRUST
RPA,1,0.225806,578,0.004019,40,0.231888,0,0.463777,39,MEDWAY NHS FOUNDATION TRUST
RN7,1,0.217742,488,0.003498,40,0.226694,0,0.453388,37,DARTFORD AND GRAVESHAM NHS TRUST
RAS,1,0.209677,591,0.004275,37,0.214689,0,0.429379,42,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST
RXC,1,0.120968,51,0.004404,40,0.204401,0,0.408802,39,EAST SUSSEX HEALTHCARE NHS TRUST
RTH,2,0.604839,1629,0.032771,40,0.9305,86.1,1,119,OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST
RNZ,2,0.629032,9032,0.014176,40,0.402747,0,0.805493,91,SALISBURY NHS FOUNDATION TRUST
RTK,2,0.524194,1994,0.016428,40,0.385712,0,0.771424,84,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST
RDU,2,0.483871,3921,0.016393,40,0.374119,0,0.748239,87,FRIMLEY HEALTH NHS FOUNDATION TRUST
RAX,2,0.653226,13547,0.006193,40,0.364903,0,0.729806,92,KINGSTON AND RICHMOND NHS FOUNDATION TRUST
RJ6,2,0.564516,1733,0.010303,40,0.362826,0,0.725651,83,CROYDON HEALTH SERVICES NHS TRUST
RJ7,2,0.427419,12656,0.013103,40,0.339741,0,0.679482,88,ST GEORGE'S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST
RN5,2,0.330645,688,0.014583,40,0.320667,0,0.641334,63,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST
RTP,2,0.322581,502,0.012803,40,0.30842,0,0.616841,66,SURREY AND SUSSEX HEALTHCARE NHS TRUST
RA2,2,0.41129,2436,0.005479,40,0.292506,0,0.585012,63,ROYAL SURREY NHS FOUNDATION TRUST
RHM,2,0.266129,3725,0.012753,40,0.292178,0,0.584356,80,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST
R0D,2,0.217742,624,0.010901,40,0.268136,0,0.536272,54,UNIVERSITY HOSPITALS DORSET NHS FOUNDATION TRUST
RHU,2,0.217742,715,0.004728,40,0.233579,0,0.467158,48,PORTSMOUTH HOSPITALS UNIVERSITY NHS TRUST
RBD,2,0.169355,1222,0.004959,40,0.221189,0,0.442378,45,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST
RHW,2,0.096774,26,0.002305,40,0.185813,0,0.371626,46,ROYAL BERKSHIRE NHS FOUNDATION TRUST
RVR,2,0.145161,465,0.002404,35,0.176595,0,0.35319,32,EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST
R1F,2,0.072581,208,0.001332,23,0.093784,0,0.187567,15,ISLE OF WIGHT NHS TRUST
REF,3,0.209677,108,0.024222,40,0.506923,33.3,0.680846,85,ROYAL CORNWALL HOSPITALS NHS TRUST
RH8,3,0.387097,1195,0.01838,40,0.42738,13.9,0.715759,92,ROYAL DEVON UNIVERSITY HEALTHCARE NHS FOUNDATION TRUST
RVJ,3,0.580645,10570,0.012245,40,0.378261,0,0.756521,95,NORTH BRISTOL NHS TRUST
RK9,3,0.298387,886,0.017274,40,0.326608,0,0.653215,79,UNIVERSITY HOSPITALS PLYMOUTH NHS TRUST
RA7,3,0.290323,1448,0.010301,40,0.285293,0,0.570586,75,UNIVERSITY HOSPITALS BRISTOL AND WESTON NHS FOUNDATION TRUST
RD1,3,0.290323,227,0.010101,40,0.284175,0,0.568351,56,ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST
RH5,3,0.25,1093,0.007091,40,0.255927,0,0.511855,60,SOMERSET NHS FOUNDATION TRUST
RTE,3,0.282258,573,0.004181,40,0.248758,0,0.497517,58,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST
RN3,3,0.217742,253,0.006331,40,0.242549,0,0.485099,42,GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST
RA9,3,0.120968,67,0.005625,40,0.211238,0,0.422476,43,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST
RA4,3,0.072581,125,0.00083,24,0.095665,0,0.191329,15,YEOVIL DISTRICT HOSPITAL NHS FOUNDATION TRUST
RRK,4,0.919355,41354,0.009988,40,0.79489,66.7,0.92278,166,UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST
RJE,4,0.612903,6062,0.016186,40,0.437442,5.6,0.818883,119,UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST
RQ3,4,0.419355,3965,0.008405,40,0.311164,0,0.622328,83,BIRMINGHAM WOMEN'S AND CHILDREN'S NHS FOUNDATION TRUST
RXW,4,0.322581,344,0.010854,40,0.297514,0,0.595027,66,THE SHREWSBURY AND TELFORD HOSPITAL NHS TRUST
RWP,4,0.354839,1311,0.007207,40,0.286214,0,0.572427,65,WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST
RL4,4,0.354839,6529,0.004908,40,0.273349,0,0.546698,63,THE ROYAL WOLVERHAMPTON NHS TRUST
RBK,4,0.290323,2202,0.002798,40,0.243298,0,0.486595,49,WALSALL HEALTHCARE NHS TRUST
RNA,4,0.241935,799,0.004408,36,0.219863,0,0.439725,39,THE DUDLEY GROUP NHS FOUNDATION TRUST
RLQ,4,0.145161,216,0.003322,36,0.186425,0,0.372849,35,WYE VALLEY NHS TRUST
RXK,4,0.08871,189,0.001735,34,0.152197,0,0.304394,30,SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST
