source,target,out_provider,in_provider,weight
RJE,RL4,UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST,THE ROYAL WOLVERHAMPTON NHS TRUST,52
RHM,RDU,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,FRIMLEY PARK HOSPITAL NHS FOUNDATION TRUST,78
RHU,RYR,PORTSMOUTH HOSPITALS NHS TRUST,WESTERN SUSSEX HOSPITALS NHS TRUST,4
RAX,RA2,KINGSTON AND RICHMOND NHS FOUNDATION TRUST,ROYAL SURREY NHS FOUNDATION TRUST,4
RRF,RBN,"WRIGHTINGTON, WIGAN AND LEIGH TEACHING HOSPITALS NHS FOUNDATION TRUST",ST HELENS AND KNOWSLEY HOSPITAL SERVICES NHS TRUST,71
RLQ,RJE,WYE VALLEY NHS TRUST,UNIVERSITY HOSPITAL OF NORTH STAFFORDSHIRE NHS TRUST,4
RLQ,RJE,WYE VALLEY NHS TRUST,UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST,56
RC9,RWG,LUTON AND DUNSTABLE HOSPITAL NHS FOUNDATION TRUST,WEST HERTFORDSHIRE TEACHING HOSPITALS NHS TRUST,26
RHU,RYR,PORTSMOUTH HOSPITALS UNIVERSITY NHS TRUST,WESTERN SUSSEX HOSPITALS NHS TRUST,1
RTG,RJE,UNIVERSITY HOSPITALS OF DERBY AND BURTON NHS FOUNDATION TRUST,UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST,81
RPA,RJ7,MEDWAY NHS FOUNDATION TRUST,ST GEORGE'S HEALTHCARE NHS FOUNDATION TRUST,10
RJ7,RJ1,ST GEORGE'S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,868
RJZ,RVV,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,356
RM3,RRF,SALFORD ROYAL NHS FOUNDATION TRUST,"WRIGHTINGTON, WIGAN AND LEIGH TEACHING HOSPITALS NHS FOUNDATION TRUST",136
RJE,RBK,UNIVERSITY HOSPITAL OF NORTH STAFFORDSHIRE NHS TRUST,WALSALL HEALTHCARE NHS TRUST,52
RYR,RVV,WESTERN SUSSEX HOSPITALS NHS FOUNDATION TRUST,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,11
RK9,RQ3,PLYMOUTH HOSPITALS NHS TRUST,BIRMINGHAM CHILDREN'S HOSPITAL NHS FOUNDATION TRUST,2
RJ7,RH8,ST GEORGE'S HEALTHCARE NHS FOUNDATION TRUST,ROYAL DEVON UNIVERSITY HEALTHCARE NHS FOUNDATION TRUST,7
RQM,RNQ,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,1
RQ3,RLT,BIRMINGHAM WOMEN'S AND CHILDREN'S NHS FOUNDATION TRUST,GEORGE ELIOT HOSPITAL NHS TRUST,1
RXW,RLQ,THE SHREWSBURY AND TELFORD HOSPITAL NHS TRUST,WYE VALLEY NHS TRUST,3
RWE,RH8,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,ROYAL DEVON UNIVERSITY HEALTHCARE NHS FOUNDATION TRUST,1
RXQ,RN5,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,1
RVJ,RN5,NORTH BRISTOL NHS TRUST,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,1
RLQ,RH8,WYE VALLEY NHS TRUST,ROYAL DEVON UNIVERSITY HEALTHCARE NHS FOUNDATION TRUST,1
RBD,RF4,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",1
RJ7,RTE,ST GEORGE'S HEALTHCARE NHS FOUNDATION TRUST,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,1
RTH,RM3,OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,NORTHERN CARE ALLIANCE NHS FOUNDATION TRUST,1
RWJ,REM,STOCKPORT NHS FOUNDATION TRUST,AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,1
RWG,RKE,WEST HERTFORDSHIRE HOSPITALS NHS TRUST,WHITTINGTON HEALTH NHS TRUST,5
RWD,R0A,UNITED LINCOLNSHIRE TEACHING HOSPITALS NHS TRUST,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,10
RBT,RJE,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST,1196
RD8,RTH,MILTON KEYNES HOSPITAL NHS FOUNDATION TRUST,OXFORD UNIVERSITY HOSPITALS NHS TRUST,208
RTG,RQ3,DERBY TEACHING HOSPITALS NHS FOUNDATION TRUST,BIRMINGHAM WOMEN'S AND CHILDREN'S NHS FOUNDATION TRUST,84
RC9,RJ7,BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST,ST GEORGE'S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,2
RJE,RL4,UNIVERSITY HOSPITAL OF NORTH STAFFORDSHIRE NHS TRUST,THE ROYAL WOLVERHAMPTON NHS TRUST,220
RC9,RQ3,LUTON AND DUNSTABLE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,BIRMINGHAM WOMEN'S AND CHILDREN'S NHS FOUNDATION TRUST,6
RYJ,RWG,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,WEST HERTFORDSHIRE HOSPITALS NHS TRUST,5
RHU,RYR,PORTSMOUTH HOSPITALS NHS TRUST,WESTERN SUSSEX HOSPITALS NHS FOUNDATION TRUST,8
RDE,RVV,EAST SUFFOLK AND NORTH ESSEX NHS FOUNDATION TRUST,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,4
RC9,RWE,LUTON AND DUNSTABLE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,2
RWW,REM,WARRINGTON AND HALTON TEACHING HOSPITALS NHS FOUNDATION TRUST,AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,359
RTP,RA2,SURREY AND SUSSEX HEALTHCARE NHS TRUST,ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,543
RTH,RWH,OXFORD UNIVERSITY HOSPITALS NHS TRUST,EAST AND NORTH HERTFORDSHIRE NHS TRUST,59
RBT,RBN,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,ST HELENS AND KNOWSLEY HOSPITALS NHS TRUST,73
RRF,RBN,"WRIGHTINGTON, WIGAN AND LEIGH NHS FOUNDATION TRUST",ST HELENS AND KNOWSLEY HOSPITAL SERVICES NHS TRUST,142
RN5,RHU,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,PORTSMOUTH HOSPITALS UNIVERSITY NATIONAL HEALTH SERVICE TRUST,103
R1H,RAJ,BARTS HEALTH NHS TRUST,MID AND SOUTH ESSEX NHS FOUNDATION TRUST,201
RNN,RTF,CUMBRIA PARTNERSHIP NHS FOUNDATION TRUST,NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST,20
RBK,RJE,WALSALL HEALTHCARE NHS TRUST,UNIVERSITY HOSPITAL OF NORTH STAFFORDSHIRE NHS TRUST,53
RXR,RBN,EAST LANCASHIRE HOSPITALS NHS TRUST,ST HELENS AND KNOWSLEY HOSPITAL SERVICES NHS TRUST,7
RAX,RJ7,KINGSTON HOSPITAL NHS TRUST,ST GEORGE'S HEALTHCARE NHS TRUST,843
RKE,RRV,WHITTINGTON HEALTH NHS TRUST,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,478
RC9,RTH,LUTON AND DUNSTABLE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,OXFORD UNIVERSITY HOSPITALS NHS TRUST,3
RJE,RQ3,UNIVERSITY HOSPITAL OF NORTH STAFFORDSHIRE NHS TRUST,BIRMINGHAM CHILDREN'S HOSPITAL NHS FOUNDATION TRUST,78
RQW,RWG,THE PRINCESS ALEXANDRA HOSPITAL NHS TRUST,WEST HERTFORDSHIRE TEACHING HOSPITALS NHS TRUST,2
RWA,RRK,HULL UNIVERSITY TEACHING HOSPITALS NHS TRUST,UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,16
