hospital,provider,community_id,weighted_in_degree,weighted_out_degree,total_transfers,cross_community_bridges
R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,0,27494,1569,29063,116
RWJ,STOCKPORT NHS FOUNDATION TRUST,0,2431,3226,5657,49
REM,AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,0,1840,839,2679,44
RXN,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,0,1593,2177,3770,50
RBN,ST HELENS AND KNOWSLEY HOSPITAL SERVICES NHS TRUST,0,1229,737,1966,35
RXL,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,0,1223,1813,3036,42
RBS,ALDER HEY CHILDREN'S NHS FOUNDATION TRUST,0,822,162,984,7
RMP,TAMESIDE AND GLOSSOP INTEGRATED CARE NHS FOUNDATION TRUST,0,614,6096,6710,13
RJR,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,0,593,518,1111,20
RBT,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,0,562,2376,2938,67
RXR,EAST LANCASHIRE HOSPITALS NHS TRUST,0,521,1919,2440,43
RM3,NORTHERN CARE ALLIANCE NHS FOUNDATION TRUST,0,439,9025,9464,61
RTX,UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST,0,354,2816,3170,36
RRF,"WRIGHTINGTON, WIGAN AND LEIGH TEACHING HOSPITALS NHS FOUNDATION TRUST",0,203,2109,2312,28
RBL,WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST,0,198,1031,1229,31
RVY,SOUTHPORT AND ORMSKIRK HOSPITAL NHS TRUST,0,184,652,836,17
RMC,BOLTON NHS FOUNDATION TRUST,0,132,2351,2483,23
RJN,EAST CHESHIRE NHS TRUST,0,75,2649,2724,17
RWW,WARRINGTON AND HALTON HOSPITALS NHS FOUNDATION TRUST,0,41,1158,1199,19
RW6,PENNINE ACUTE HOSPITALS NHS TRUST,0,17,558,575,6
RAX,KINGSTON HOSPITAL NHS FOUNDATION TRUST,1,13549,2001,15550,92
RJ7,ST GEORGE'S HEALTHCARE NHS TRUST,1,12993,13594,26587,86
RNZ,SALISBURY NHS FOUNDATION TRUST,1,9037,627,9664,90
RDU,FRIMLEY HEALTH NHS FOUNDATION TRUST,1,4077,6223,10300,85
RHM,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,1,2587,5142,7729,79
RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,1,2192,5345,7537,83
RA2,ROYAL SURREY NHS FOUNDATION TRUST,1,2188,4239,6427,63
RTH,OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,1,2167,1667,3834,117
RJ6,CROYDON HEALTH SERVICES NHS TRUST,1,1242,8802,10044,82
RBD,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,1,1222,1170,2392,45
RHU,PORTSMOUTH HOSPITALS UNIVERSITY NATIONAL HEALTH SERVICE TRUST,1,850,1149,1999,48
RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,1,688,3125,3813,63
R0D,UNIVERSITY HOSPITALS DORSET NHS FOUNDATION TRUST,1,624,1272,1896,53
RTP,SURREY AND SUSSEX HEALTHCARE NHS TRUST,1,502,3154,3656,66
RVR,EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST,1,465,3490,3955,32
RD8,MILTON KEYNES HOSPITAL NHS FOUNDATION TRUST,1,219,1795,2014,57
R1F,ISLE OF WIGHT NHS TRUST,1,208,766,974,15
RHW,ROYAL BERKSHIRE NHS FOUNDATION TRUST,1,26,1412,1438,45
RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,2,52240,7655,59895,159
RJZ,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,2,25869,6405,32274,145
