Code,Name,Postcode,latitude,longitude,geocoded,hospital,provider,community_id,weighted_in_degree,weighted_out_degree,total_transfers,cross_community_bridges,node_size
RCF,AIREDALE NHS FOUNDATION TRUST,BD20 6TD,53.897957,-1.962729,True,RCF,AIREDALE NHS FOUNDATION TRUST,5,243,2144,2387,20,6.04138957248326
RBS,ALDER HEY CHILDREN'S NHS FOUNDATION TRUST,L12 2AP,53.421263,-2.897796,True,RBS,ALDER HEY CHILDREN'S NHS FOUNDATION TRUST,0,822,162,984,7,6.147427459508957
RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,KT16 0PZ,51.377831,-0.527041,True,RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,1,2192,5345,7537,83,6.398328850226063
RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",RM7 0AG,51.568649,0.179058,True,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",8,743,2030,2773,75,6.132959423109941
RFF,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,S75 2EP,53.55915,-1.499495,True,RFF,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,10,3554,15562,19116,55,6.6477651233331425
R1H,BARTS HEALTH NHS TRUST,E1 2ES,51.517168,-0.056023,True,R1H,BARTS HEALTH NHS TRUST,8,4727,3382,8109,146,6.862587992903337
RC9,BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST,LU4 0DZ,51.894292,-0.474153,True,RC9,LUTON AND DUNSTABLE HOSPITAL NHS FOUNDATION TRUST,2,331,5584,5915,63,6.057505866193556
RQ3,BIRMINGHAM WOMEN'S AND CHILDREN'S NHS FOUNDATION TRUST,B4 6NH,52.484784,-1.893809,True,RQ3,BIRMINGHAM CHILDREN'S HOSPITAL NHS FOUNDATION TRUST,4,5779,7291,13070,83,7.0552509586218735
RXL,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,FY3 8NR,53.820675,-3.016275,True,RXL,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,0,1223,1813,3036,42,6.220866479711555
RMC,BOLTON NHS FOUNDATION TRUST,BL4 0JR,53.553973,-2.429892,True,RMC,BOLTON NHS FOUNDATION TRUST,0,132,2351,2483,23,6.021061065644137
RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,BD9 6RJ,53.805995,-1.7947,True,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,5,1506,1585,3091,45,6.272695015166256
RXQ,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,HP7 0JD,51.663005,-0.621408,True,RXQ,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,2,641,2277,2918,64,6.114279173582098
RWY,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,HD3 3EA,53.655489,-1.816339,True,RWY,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,5,1778,1399,3177,67,6.322509013907171
RGT,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,CB2 0QQ,52.175003,0.14065,True,RGT,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,6,22790,2973,25763,171,10.17064041664282
RQM,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,SW10 9NH,51.484309,-0.18162,True,RQM,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,2,1848,4742,6590,79,6.335328792994907
RFS,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,S44 5BL,53.236233,-1.400049,True,RFS,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,10,388,16137,16525,53,6.067944829164998
RJR,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,CH2 1UL,53.208816,-2.897886,True,RJR,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,0,593,518,1111,20,6.105488467921937
RXP,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,DL3 6HX,54.530385,-1.563742,True,RXP,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,7,646,4306,4952,49,6.115194872088365
RJ6,CROYDON HEALTH SERVICES NHS TRUST,CR7 7YE,51.389128,-0.108758,True,RJ6,CROYDON HEALTH SERVICES NHS TRUST,1,1242,8802,10044,82,6.224346134035369
RN7,DARTFORD AND GRAVESHAM NHS TRUST,DA2 8DA,51.434952,0.258673,True,RN7,DARTFORD AND GRAVESHAM NHS TRUST,2,488,4708,5196,37,6.086258799290333
RP5,DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST,DN2 5LT,53.530805,-1.108942,True,RP5,DONCASTER AND BASSETLAW HOSPITALS NHS FOUNDATION TRUST,10,166,27816,27982,61,6.027287815486751
RBD,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,DT1 2JY,50.712931,-2.446934,True,RBD,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,1,1222,1170,2392,45,6.220683340010302
RWH,EAST AND NORTH HERTFORDSHIRE TEACHING NHS TRUST,SG1 4AB,51.924246,-0.211889,True,RWH,EAST AND NORTH HERTFORDSHIRE NHS TRUST,2,16334,2191,18525,97,8.988290505351113
RJN,EAST CHESHIRE NHS TRUST,SK10 3BL,53.262339,-2.141072,True,RJN,EAST CHESHIRE NHS TRUST,0,75,2649,2724,17,6.010622102672695
RVV,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,CT1 3NG,51.266593,1.087113,True,RVV,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,2,2721,6341,9062,84,6.4952097521890915
RXR,EAST LANCASHIRE HOSPITALS NHS TRUST,BB2 3HH,53.735575,-2.462715,True,RXR,EAST LANCASHIRE HOSPITALS NHS TRUST,0,521,1919,2440,43,6.092302409431695
RDE,EAST SUFFOLK AND NORTH ESSEX NHS FOUNDATION TRUST,CO4 5JL,51.910175,0.899213,True,RDE,COLCHESTER HOSPITAL UNIVERSITY NHS FOUNDATION TRUST,6,3150,2755,5905,87,6.573776684026784
RXC,EAST SUSSEX HEALTHCARE NHS TRUST,TN37 7PT,50.88769,0.561978,True,RXC,EAST SUSSEX HEALTHCARE NHS TRUST,2,51,2097,2148,40,6.0062267498426145
RVR,EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST,SM5 1AA,51.380188,-0.183708,True,RVR,EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST,1,465,3490,3955,32,6.082046586161506
RDU,FRIMLEY HEALTH NHS FOUNDATION TRUST,GU16 7UJ,51.319666,-0.742011,True,RDU,FRIMLEY HEALTH NHS FOUNDATION TRUST,1,4077,6223,10300,85,6.743547187088651
