Code,Name,Postcode,latitude,longitude,geocoded
RCF,AIREDALE NHS FOUNDATION TRUST,BD20 6TD,53.897957,-1.962729,True
RBS,ALDER HEY CHILDREN'S NHS FOUNDATION TRUST,L12 2AP,53.421263,-2.897796,True
RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,KT16 0PZ,51.377831,-0.527041,True
RVN,AVON AND WILTSHIRE MENTAL HEALTH PARTNERSHIP NHS TRUST,BA1 3QE,51.388601,-2.392311,True
RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",RM7 0AG,51.568649,0.179058,True
RRP,"BARNET, ENFIELD AND HARINGEY MENTAL HEALTH NHS TRUST",N15 3TH,51.580628,-0.092071,True
RFF,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,S75 2EP,53.55915,-1.499495,True
RNJ,BARTS AND THE LONDON NHS TRUST,E1 1BB,51.519019,-0.058106,True
R1H,BARTS HEALTH NHS TRUST,E1 2ES,51.517168,-0.056023,True
RDD,BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,SS16 5NL,51.558437,0.451767,True
RC1,BEDFORD HOSPITAL NHS TRUST,MK42 9DJ,52.128277,-0.472474,True
RC9,BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST,LU4 0DZ,51.894292,-0.474153,True
RWX,BERKSHIRE HEALTHCARE NHS FOUNDATION TRUST,RG12 2UT,51.416178,-0.740213,True
RXT,BIRMINGHAM AND SOLIHULL MENTAL HEALTH NHS FOUNDATION TRUST,B13 8QY,52.440934,-1.89709,True
RYW,BIRMINGHAM COMMUNITY HEALTHCARE NHS FOUNDATION TRUST,B7 4BN,52.487339,-1.885821,True
RQ3,BIRMINGHAM WOMEN'S AND CHILDREN'S NHS FOUNDATION TRUST,B4 6NH,52.484784,-1.893809,True
RLU,BIRMINGHAM WOMEN'S NHS FOUNDATION TRUST,B15 2TG,52.453245,-1.9429,True
RXL,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,FY3 8NR,53.820675,-3.016275,True
RMC,BOLTON NHS FOUNDATION TRUST,BL4 0JR,53.553973,-2.429892,True
RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,BD9 6RJ,53.805995,-1.7947,True
RY2,BRIDGEWATER COMMUNITY HEALTHCARE NHS FOUNDATION TRUST,WA3 7PG,53.414117,-2.527537,True
RXH,BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST,BN2 5BE,50.819462,-0.118149,True
RXQ,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,HP7 0JD,51.663005,-0.621408,True
RJF,BURTON HOSPITALS NHS FOUNDATION TRUST,DE13 0RB,52.817793,-1.656379,True
RWY,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,HD3 3EA,53.655489,-1.816339,True
RGT,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,CB2 0QQ,52.175003,0.14065,True
RT1,CAMBRIDGESHIRE AND PETERBOROUGH NHS FOUNDATION TRUST,CB21 5EF,52.184505,0.188329,True
RYV,CAMBRIDGESHIRE COMMUNITY SERVICES NHS TRUST,PE27 4LG,52.322863,-0.067127,True
RV3,CENTRAL AND NORTH WEST LONDON NHS FOUNDATION TRUST,NW1 3AX,51.524338,-0.142155,True
RYX,CENTRAL LONDON COMMUNITY HEALTHCARE NHS TRUST,NW1 5JD,51.52284,-0.151514,True
RW3,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,M13 9WL,53.462452,-2.227709,True
RQM,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,SW10 9NH,51.484309,-0.18162,True
RXA,CHESHIRE AND WIRRAL PARTNERSHIP NHS FOUNDATION TRUST,CH2 1BQ,53.211559,-2.898826,True
RFS,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,S44 5BL,53.236233,-1.400049,True
RJ8,CORNWALL PARTNERSHIP NHS FOUNDATION TRUST,PL31 2QN,50.471755,-4.740858,True
RJR,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,CH2 1UL,53.208816,-2.897886,True
