hospital,infection_frequency,mean_epidemic_size,mean_epidemic_size_pct,mean_step_to_infection,provider,community_id,weighted_in_degree,cross_community_bridges
RHQ,0.34,2.8,2.3,3.52,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,10,87382,159
RFF,0.2851,2.9,2.3,5.11,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,10,3554,55
RJ1,0.2691,5.8,4.6,2.85,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,2,52240,159
RJZ,0.257,4.4,3.5,3.73,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,2,25869,145
RCU,0.1805,4.3,3.5,7.65,SHEFFIELD CHILDREN'S NHS FOUNDATION TRUST,10,8655,93
RFR,0.1803,3.4,2.7,7.27,THE ROTHERHAM NHS FOUNDATION TRUST,10,993,38
RRK,0.1798,6.9,5.5,4.54,UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,4,41394,166
RGT,0.1774,12.7,10.2,5.01,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,6,22790,171
RAX,0.1728,5.7,4.6,6.37,KINGSTON HOSPITAL NHS FOUNDATION TRUST,1,13549,92
RWA,0.1721,4.1,3.3,7.15,HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST,5,34662,147
RJ2,0.1698,4.6,3.6,6.86,LEWISHAM AND GREENWICH NHS TRUST,2,1321,52
RJ7,0.1692,6.6,5.3,6.41,ST GEORGE'S HEALTHCARE NHS TRUST,1,12993,86
RWH,0.1575,14.6,11.7,5.84,EAST AND NORTH HERTFORDSHIRE NHS TRUST,2,16334,97
RQ3,0.1575,7.8,6.3,6.2,BIRMINGHAM CHILDREN'S HOSPITAL NHS FOUNDATION TRUST,4,5779,83
RKB,0.1498,4.4,3.5,6.35,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,11,28501,146
RJC,0.1438,3.5,2.8,6.97,SOUTH WARWICKSHIRE UNIVERSITY NHS FOUNDATION TRUST,11,8725,105
RAL,0.1431,8.3,6.6,8.27,ROYAL FREE LONDON NHS FOUNDATION TRUST,8,30496,111
RKE,0.1411,7.0,5.6,8.37,THE WHITTINGTON HEALTH NHS TRUST,8,13759,61
RDE,0.1397,13.1,10.5,7.97,COLCHESTER HOSPITAL UNIVERSITY NHS FOUNDATION TRUST,6,3150,87
RAP,0.1392,8.2,6.5,8.27,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,8,4860,74
RVV,0.1382,4.3,3.4,8.58,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,2,2721,84
R0A,0.1378,3.9,3.1,4.89,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,0,27494,116
RAJ,0.1326,13.0,10.4,8.64,SOUTHEND UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,6,1647,102
R1H,0.1297,9.1,7.3,8.63,BARTS HEALTH NHS TRUST,8,4727,146
RHM,0.1263,7.0,5.6,7.08,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,1,2587,79
RNZ,0.123,4.8,3.9,6.64,SALISBURY NHS FOUNDATION TRUST,1,9037,90
RWF,0.1212,4.9,3.9,9.21,MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST,2,1388,68
RM1,0.119,10.2,8.1,9.19,NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,6,2583,65
RGR,0.1148,13.4,10.7,9.58,WEST SUFFOLK NHS FOUNDATION TRUST,6,676,48
RRV,0.1146,7.4,6.0,10.61,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,8,1482,119
RDU,0.1122,16.2,13.0,7.43,FRIMLEY HEALTH NHS FOUNDATION TRUST,1,4077,85
RF4,0.1084,9.8,7.9,10.84,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",8,743,75
RJ6,0.1068,6.7,5.4,9.48,CROYDON HEALTH SERVICES NHS TRUST,1,1242,82
RL4,0.105,9.4,7.5,8.91,THE ROYAL WOLVERHAMPTON NHS TRUST,4,6529,63
RX1,0.0976,9.8,7.9,8.19,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,9,22280,149
RP5,0.0972,5.0,4.0,9.46,DONCASTER AND BASSETLAW HOSPITALS NHS FOUNDATION TRUST,10,166,61
RWJ,0.0953,4.1,3.3,7.88,STOCKPORT NHS FOUNDATION TRUST,0,2431,49
RBK,0.0938,6.4,5.1,9.89,WALSALL HEALTHCARE NHS TRUST,4,2223,49
RMP,0.0912,3.7,2.9,8.11,TAMESIDE AND GLOSSOP INTEGRATED CARE NHS FOUNDATION TRUST,0,614,13
RTK,0.0816,14.9,11.9,10.7,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,1,2192,83
RNA,0.0808,7.7,6.1,10.43,THE DUDLEY GROUP NHS FOUNDATION TRUST,4,799,39
RA2,0.0799,15.6,12.5,10.71,ROYAL SURREY NHS FOUNDATION TRUST,1,2188,63
RQM,0.0761,14.6,11.7,9.98,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,2,1848,79
RTH,0.0748,21.2,17.0,7.77,OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,1,2167,117
RFS,0.0742,4.3,3.4,9.86,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,10,388,53
RGP,0.0741,8.0,6.4,11.63,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,6,307,43
RJE,0.0719,17.2,13.8,9.95,UNIVERSITY HOSPITAL OF NORTH STAFFORDSHIRE NHS TRUST,4,3803,119
RHU,0.07,7.2,5.8,10.98,PORTSMOUTH HOSPITALS UNIVERSITY NATIONAL HEALTH SERVICE TRUST,1,850,48
RGN,0.0678,15.7,12.5,10.98,PETERBOROUGH AND STAMFORD HOSPITALS NHS FOUNDATION TRUST,6,193,55
RYJ,0.0678,14.8,11.9,10.99,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,2,3005,99
RXQ,0.0672,20.6,16.5,10.01,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,2,641,64
RWE,0.0662,17.0,13.6,10.15,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,9,1583,104
RTG,0.0655,12.6,10.0,11.31,UNIVERSITY HOSPITALS OF DERBY AND BURTON NHS FOUNDATION TRUST,9,744,74
RM3,0.065,5.1,4.1,9.05,NORTHERN CARE ALLIANCE NHS FOUNDATION TRUST,0,439,61
RXF,0.0622,4.7,3.7,9.63,MID YORKSHIRE HOSPITALS NHS TRUST,5,1597,58
RBD,0.0622,3.9,3.1,9.86,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,1,1222,45
RAS,0.0602,15.6,12.5,11.32,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,2,604,42
RTD,0.0592,3.7,3.0,1.87,THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,7,16329,83
RVR,0.0588,8.1,6.5,13.17,EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST,1,465,32
RR8,0.0577,6.0,4.8,8.11,LEEDS TEACHING HOSPITALS NHS TRUST,5,3336,102
R0D,0.0575,9.1,7.3,11.62,UNIVERSITY HOSPITALS DORSET NHS FOUNDATION TRUST,1,624,53
REM,0.0568,3.9,3.1,5.86,AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,0,1840,44
RBN,0.0567,3.6,2.9,5.98,ST HELENS AND KNOWSLEY HOSPITAL SERVICES NHS TRUST,0,1229,35
RVJ,0.0566,8.5,6.8,2.09,NORTH BRISTOL NHS TRUST,3,10806,95
RR7,0.0542,4.8,3.8,2.81,GATESHEAD HEALTH NHS FOUNDATION TRUST,7,10436,27
RPA,0.0542,5.0,4.0,11.76,MEDWAY NHS FOUNDATION TRUST,2,578,39
RCX,0.0539,12.6,10.1,12.28,"THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST",6,221,34
RA7,0.0534,6.1,4.9,2.39,UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST,3,1977,75
RN7,0.0528,4.7,3.7,11.3,DARTFORD AND GRAVESHAM NHS TRUST,2,488,37
RWD,0.0527,9.0,7.2,12.28,UNITED LINCOLNSHIRE HOSPITALS NHS TRUST,9,713,103
RXW,0.0509,14.7,11.8,12.73,THE SHREWSBURY AND TELFORD HOSPITAL NHS TRUST,4,400,66
R1K,0.0506,14.7,11.8,12.8,LONDON NORTH WEST HEALTHCARE NHS TRUST,2,847,74
RD8,0.0502,25.0,20.0,12.28,MILTON KEYNES HOSPITAL NHS FOUNDATION TRUST,1,219,57
RK5,0.0492,9.8,7.8,12.96,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,9,584,79
RN5,0.0491,17.2,13.8,11.97,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,1,688,63
