"Code","Name","Primary_Role_Name","Non_Primary_Role_Name(s)","Postcode","UPRN","Geographic_Local_Authority_Code","Geographic_Local_Authority_Name","High_Level_Health_Geography_Code","High_Level_Health_Geography_Name","National_Grouping_Code","National_Grouping_Name","Geographic_Government_Office_Region_Code","Geographic_Government_Office_Region_Name"
"RCF","AIREDALE NHS FOUNDATION TRUST","NHS TRUST","HOSPICE|FOUNDATION TRUST","BD20 6TD","100051940908","209","CITY OF BRADFORD METROPOLITAN DISTRICT COUNCIL","QWO","NHS WEST YORKSHIRE INTEGRATED CARE BOARD","Y63","NORTH EAST AND YORKSHIRE COMMISSIONING REGION","D","YORKSHIRE & THE HUMBER GOVERNMENT OFFICE REGION"
"RBS","ALDER HEY CHILDREN'S NHS FOUNDATION TRUST","NHS TRUST","HOSPICE|FOUNDATION TRUST","L12 2AP","38049828","316","LIVERPOOL CITY COUNCIL","QYG","NHS CHESHIRE AND MERSEYSIDE INTEGRATED CARE BOARD","Y62","NORTH WEST COMMISSIONING REGION","B","NORTH WEST GOVERNMENT OFFICE REGION"
"RTK","ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST","NHS TRUST","FOUNDATION TRUST","KT16 0PZ","200004039061","805","SURREY COUNTY COUNCIL","QXU","NHS SURREY HEARTLANDS INTEGRATED CARE BOARD","Y59","SOUTH EAST COMMISSIONING REGION","J","SOUTH EAST GOVERNMENT OFFICE REGION"
"RVN","AVON AND WILTSHIRE MENTAL HEALTH PARTNERSHIP NHS TRUST","NHS TRUST","","BA1 3QE","10001136832","908","BATH AND NORTH EAST SOMERSET COUNCIL","QOX","NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD","Y58","SOUTH WEST COMMISSIONING REGION","K","SOUTH WEST GOVERNMENT OFFICE REGION"
"RF4","BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST","NHS TRUST","","RM7 0AG","10013186555","726","LONDON BOROUGH OF HAVERING","QMF","NHS NORTH EAST LONDON INTEGRATED CARE BOARD","Y56","LONDON COMMISSIONING REGION","H","LONDON GOVERNMENT OFFICE REGION"
"RRP","BARNET, ENFIELD AND HARINGEY MENTAL HEALTH NHS TRUST","NHS TRUST","","N15 3TH","100023151098","724","LONDON BOROUGH OF HARINGEY","QMJ","NHS NORTH CENTRAL LONDON INTEGRATED CARE BOARD","Y56","LONDON COMMISSIONING REGION","H","LONDON GOVERNMENT OFFICE REGION"
"RFF","BARNSLEY HOSPITAL NHS FOUNDATION TRUST","NHS TRUST","HOSPICE|FOUNDATION TRUST","S75 2EP","100052201981","204","BARNSLEY METROPOLITAN BOROUGH COUNCIL","QF7","NHS SOUTH YORKSHIRE INTEGRATED CARE BOARD","Y63","NORTH EAST AND YORKSHIRE COMMISSIONING REGION","D","YORKSHIRE & THE HUMBER GOVERNMENT OFFICE REGION"
"RNJ","BARTS AND THE LONDON NHS TRUST","NHS TRUST","HOSPICE","E1 1BB","","711","LONDON BOROUGH OF TOWER HAMLETS","QMF","NHS NORTH EAST LONDON INTEGRATED CARE BOARD","Y56","LONDON COMMISSIONING REGION","H","LONDON GOVERNMENT OFFICE REGION"
"R1H","BARTS HEALTH NHS TRUST","NHS TRUST","","E1 2ES","6362645","711","LONDON BOROUGH OF TOWER HAMLETS","QMF","NHS NORTH EAST LONDON INTEGRATED CARE BOARD","Y56","LONDON COMMISSIONING REGION","H","LONDON GOVERNMENT OFFICE REGION"
"RDD","BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","NHS TRUST","HOSPICE|FOUNDATION TRUST","SS16 5NL","100091590497","620","ESSEX COUNTY COUNCIL","QH8","NHS MID AND SOUTH ESSEX INTEGRATED CARE BOARD","Y61","EAST OF ENGLAND COMMISSIONING REGION","G","EAST OF ENGLAND GOVERNMENT OFFICE REGION"
"RC1","BEDFORD HOSPITAL NHS TRUST","NHS TRUST","HOSPICE","MK42 9DJ","100081210845","625","BEDFORD BOROUGH COUNCIL","QHG","NHS BEDFORDSHIRE, LUTON AND MILTON KEYNES INTEGRATED CARE BOARD","Y61","EAST OF ENGLAND COMMISSIONING REGION","G","EAST OF ENGLAND GOVERNMENT OFFICE REGION"
"RC9","BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST","NHS TRUST","HOSPICE|FOUNDATION TRUST","LU4 0DZ","100081331524","611","LUTON BOROUGH COUNCIL","QHG","NHS BEDFORDSHIRE, LUTON AND MILTON KEYNES INTEGRATED CARE BOARD","Y61","EAST OF ENGLAND COMMISSIONING REGION","G","EAST OF ENGLAND GOVERNMENT OFFICE REGION"
"RWX","BERKSHIRE HEALTHCARE NHS FOUNDATION TRUST","NHS TRUST","FOUNDATION TRUST","RG12 2UT","200000330653","614","BRACKNELL FOREST COUNCIL","QNQ","NHS FRIMLEY INTEGRATED CARE BOARD","Y59","SOUTH EAST COMMISSIONING REGION","J","SOUTH EAST GOVERNMENT OFFICE REGION"
"RXT","BIRMINGHAM AND SOLIHULL MENTAL HEALTH NHS FOUNDATION TRUST","NHS TRUST","FOUNDATION TRUST","B13 8QY","100071423845","406","BIRMINGHAM CITY COUNCIL","QHL","NHS BIRMINGHAM AND SOLIHULL INTEGRATED CARE BOARD","Y60","MIDLANDS COMMISSIONING REGION","F","WEST MIDLANDS GOVERNMENT OFFICE REGION"
"RYW","BIRMINGHAM COMMUNITY HEALTHCARE NHS FOUNDATION TRUST","NHS TRUST","FOUNDATION TRUST","B7 4BN","200001483837","406","BIRMINGHAM CITY COUNCIL","QHL","NHS BIRMINGHAM AND SOLIHULL INTEGRATED CARE BOARD","Y60","MIDLANDS COMMISSIONING REGION","F","WEST MIDLANDS GOVERNMENT OFFICE REGION"
"RQ3","BIRMINGHAM WOMEN'S AND CHILDREN'S NHS FOUNDATION TRUST","NHS TRUST","HOSPICE|FOUNDATION TRUST","B4 6NH","100071462054","406","BIRMINGHAM CITY COUNCIL","QHL","NHS BIRMINGHAM AND SOLIHULL INTEGRATED CARE BOARD","Y60","MIDLANDS COMMISSIONING REGION","F","WEST MIDLANDS GOVERNMENT OFFICE REGION"
"RLU","BIRMINGHAM WOMEN'S NHS FOUNDATION TRUST","NHS TRUST","FOUNDATION TRUST","B15 2TG","100071429339","406","BIRMINGHAM CITY COUNCIL","QHL","NHS BIRMINGHAM AND SOLIHULL INTEGRATED CARE BOARD","Y60","MIDLANDS COMMISSIONING REGION","F","WEST MIDLANDS GOVERNMENT OFFICE REGION"
"RXL","BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST","NHS TRUST","FOUNDATION TRUST","FY3 8NR","10000871697","325","BLACKPOOL BOROUGH COUNCIL","QE1","NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD","Y62","NORTH WEST COMMISSIONING REGION","B","NORTH WEST GOVERNMENT OFFICE REGION"
"RMC","BOLTON NHS FOUNDATION TRUST","NHS TRUST","HOSPICE|FOUNDATION TRUST","BL4 0JR","200002563317","304","BOLTON METROPOLITAN BOROUGH COUNCIL","QOP","NHS GREATER MANCHESTER INTEGRATED CARE BOARD","Y62","NORTH WEST COMMISSIONING REGION","B","NORTH WEST GOVERNMENT OFFICE REGION"
"RAE","BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST","NHS TRUST","HOSPICE|FOUNDATION TRUST","BD9 6RJ","100051155784","209","CITY OF BRADFORD METROPOLITAN DISTRICT COUNCIL","QWO","NHS WEST YORKSHIRE INTEGRATED CARE BOARD","Y63","NORTH EAST AND YORKSHIRE COMMISSIONING REGION","D","YORKSHIRE & THE HUMBER GOVERNMENT OFFICE REGION"
"RY2","BRIDGEWATER COMMUNITY HEALTHCARE NHS FOUNDATION TRUST","NHS TRUST","FOUNDATION TRUST","WA3 7PG","10008652313","322","WARRINGTON BOROUGH COUNCIL","QYG","NHS CHESHIRE AND MERSEYSIDE INTEGRATED CARE BOARD","Y62","NORTH WEST COMMISSIONING REGION","B","NORTH WEST GOVERNMENT OFFICE REGION"
"RXH","BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST","NHS TRUST","","BN2 5BE","22082402","816","BRIGHTON AND HOVE CITY COUNCIL","QNX","NHS SUSSEX INTEGRATED CARE BOARD","Y59","SOUTH EAST COMMISSIONING REGION","J","SOUTH EAST GOVERNMENT OFFICE REGION"
"RXQ","BUCKINGHAMSHIRE HEALTHCARE NHS TRUST","NHS TRUST","","HP7 0JD","100081328830","916","BUCKINGHAMSHIRE COUNCIL","QU9","NHS BUCKINGHAMSHIRE, OXFORDSHIRE AND BERKSHIRE WEST INTEGRATED CARE BOARD","Y59","SOUTH EAST COMMISSIONING REGION","J","SOUTH EAST GOVERNMENT OFFICE REGION"
"RJF","BURTON HOSPITALS NHS FOUNDATION TRUST","NHS TRUST","HOSPICE|FOUNDATION TRUST","DE13 0RB","100032001977","413","STAFFORDSHIRE COUNTY COUNCIL","QNC","NHS STAFFORDSHIRE AND STOKE-ON-TRENT INTEGRATED CARE BOARD","Y60","MIDLANDS COMMISSIONING REGION","F","WEST MIDLANDS GOVERNMENT OFFICE REGION"
"RWY","CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST","NHS TRUST","FOUNDATION TRUST","HD3 3EA","83034315","211","KIRKLEES COUNCIL","QWO","NHS WEST YORKSHIRE INTEGRATED CARE BOARD","Y63","NORTH EAST AND YORKSHIRE COMMISSIONING REGION","D","YORKSHIRE & THE HUMBER GOVERNMENT OFFICE REGION"
"RGT","CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","NHS TRUST","HOSPICE|FOUNDATION TRUST|MEDICINE SUPPLIER","CB2 0QQ","200004215795","623","CAMBRIDGESHIRE COUNTY COUNCIL","QUE","NHS CAMBRIDGESHIRE AND PETERBOROUGH INTEGRATED CARE BOARD","Y61","EAST OF ENGLAND COMMISSIONING REGION","G","EAST OF ENGLAND GOVERNMENT OFFICE REGION"
