icb_code,icb_name,total_hospitals,dominant_community,dominance_pct,dominant_weight,total_weight,num_communities,communities_present,avg_risk,max_risk,top_hospital
E54000008,NHS Cheshire and Merseyside Integrated Care Board,9,5,100.0,30702,30702,1,5,0.1076,0.2743,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST
E54000037,NHS Devon Integrated Care Board,3,1,100.0,9839,9839,1,1,0.2509,0.4131,ROYAL DEVON AND EXETER NHS FOUNDATION TRUST
E54000039,"NHS Bristol, North Somerset and South Gloucestershire Integrated Care Board",2,1,100.0,27540,27540,1,1,0.2671,0.3324,NORTH BRISTOL NHS TRUST
E54000040,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",3,1,100.0,24815,24815,1,1,0.2344,0.3692,SALISBURY NHS FOUNDATION TRUST
E54000041,NHS Dorset Integrated Care Board,2,1,100.0,4666,4666,1,1,0.1385,0.1741,UNIVERSITY HOSPITALS DORSET NHS FOUNDATION TRUST
E54000042,NHS Hampshire and Isle of Wight Integrated Care Board,4,1,100.0,21279,21279,1,1,0.1543,0.251,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST
E54000043,NHS Gloucestershire Integrated Care Board,1,1,100.0,3147,3147,1,1,0.1423,0.1423,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST
E54000044,"NHS Buckinghamshire, Oxfordshire and Berkshire West Integrated Care Board",3,3,100.0,14349,14349,1,3,0.3871,0.889,OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST
E54000048,NHS Lancashire and South Cumbria Integrated Care Board,4,5,100.0,10254,10254,1,5,0.1208,0.1568,EAST LANCASHIRE HOSPITALS NHS TRUST
E54000050,NHS North East and North Cumbria Integrated Care Board,8,7,100.0,42723,42723,1,7,0.1373,0.2214,SOUTH TEES HOSPITALS NHS FOUNDATION TRUST
E54000054,NHS West Yorkshire Integrated Care Board,5,9,100.0,19637,19637,1,9,0.1528,0.2403,LEEDS TEACHING HOSPITALS NHS TRUST
E54000055,NHS Birmingham and Solihull Integrated Care Board,2,0,100.0,68506,68506,1,0,0.5098,0.7854,UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST
